Product ID=2c, Serial#=TV114090503, SWVersion=(See Log Data), HWVersion=(See Log Data)
------------------------------------------------------------------
LOG ID 0017 (Encrypted Significant Event Text) 1182964 total bytes
------------------------------------------------------------------
     UTC Time           Device Time          Err              Descr
01/17/2024 13:04:45  01/17/2024 10:44:45 E-00264     0 65535  ERR_MENU_BYPASS_ACTIVATED  KEYPRESS  <UTC:1705496685_0017>
01/17/2024 13:04:36  01/17/2024 10:44:36 E-00072     0 65535  ERR_MMC_SD_CARD_INSERTED  BEEP_ONLY  <UTC:1705496676_0017>
01/17/2024 13:04:29  01/17/2024 10:44:29 E-00252     0 65535  ERR_INT_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1705496669_0017>
01/17/2024 13:04:29  01/17/2024 10:44:29 E-00251     0 65535  ERR_DET_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1705496669_0017>
01/17/2024 13:04:26  01/17/2024 10:44:26 E-00074     0 65535  ERR_MMC_SD_CARD_REMOVED  BEEP_ONLY  <UTC:1705496666_0017>
01/17/2024 13:04:17  01/17/2024 10:44:17 E-00283     0 65535  ERR_SW_UPGRADE_PERFORMED  KEYPRESS  <UTC:1705496657_0017>
01/17/2024 13:03:08  01/17/2024 10:43:08 E-00072     0 65535  ERR_MMC_SD_CARD_INSERTED  BEEP_ONLY  <UTC:1705496588_0017>
01/17/2024 13:02:53  01/17/2024 10:42:53 E-00074     0 65535  ERR_MMC_SD_CARD_REMOVED  BEEP_ONLY  <UTC:1705496573_0017>
01/17/2024 13:01:09  01/17/2024 09:58:09 E-00264     0 65535  ERR_MENU_BYPASS_ACTIVATED  KEYPRESS  <UTC:1705496469_0017>
01/17/2024 12:59:58  01/17/2024 09:56:58 E-00264     0 65535  ERR_MENU_BYPASS_ACTIVATED  KEYPRESS  <UTC:1705496398_0017>
01/17/2024 12:58:31  01/17/2024 09:55:31 E-00264     0 65535  ERR_MENU_BYPASS_ACTIVATED  KEYPRESS  <UTC:1705496311_0017>
01/17/2024 12:58:27  01/17/2024 09:55:27 E-00072     0 65535  ERR_MMC_SD_CARD_INSERTED  BEEP_ONLY  <UTC:1705496307_0017>
01/17/2024 12:58:22  01/17/2024 09:55:22 E-00074     0 65535  ERR_MMC_SD_CARD_REMOVED  BEEP_ONLY  <UTC:1705496302_0017>
01/17/2024 12:58:20  01/17/2024 09:55:20 E-16415     1     0      NV_ID= 31 (NV_UNIT_STATE)  P/S=P RX=0  AVAPS=0  <UTC:1705496300_0017>
