Product ID=2c, Serial#=TV114120511, SWVersion=(See Log Data), HWVersion=(See Log Data)
------------------------------------------------------------------
LOG ID 0017 (Encrypted Significant Event Text) 1023494 total bytes
------------------------------------------------------------------
     UTC Time           Device Time          Err              Descr
01/10/2024 12:42:33  01/10/2024 09:41:33 E-00072     0 65535  ERR_MMC_SD_CARD_INSERTED  BEEP_ONLY  <UTC:1704890553_0017>
01/10/2024 12:42:01  01/10/2024 09:41:01 E-00264     0 65535  ERR_MENU_BYPASS_ACTIVATED  KEYPRESS  <UTC:1704890521_0017>
01/10/2024 12:41:59  01/10/2024 09:40:59 E-00252     0 65535  ERR_INT_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1704890519_0017>
01/10/2024 12:41:59  01/10/2024 09:40:59 E-00251     0 65535  ERR_DET_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1704890519_0017>
01/03/2024 18:40:47  01/03/2024 15:39:47 E-00179     0 65535  ERR_PWR_REDUCTION_AC_DISCONNECTED  MED_ALARM  <UTC:1704307247_0017>
01/03/2024 18:32:05  01/03/2024 15:31:05 E-16415     1     0      NV_ID= 31 (NV_UNIT_STATE)  P/S=P RX=0  AVAPS=0  <UTC:1704306725_0017>
01/03/2024 18:32:05  01/03/2024 15:31:05 E-00294     0 65535  ERR_POWER_OFF_YES_KEY  KEYPRESS  <UTC:1704306725_0017>
01/03/2024 18:32:05  01/03/2024 15:31:05 E-00293     0 65535  ERR_POWER_OFF_KEY  KEYPRESS  <UTC:1704306725_0017>
01/03/2024 18:32:04  01/03/2024 15:31:04 E-00121   100     1  ERR_PATIENT_DISCONNECT_ALARM  HIGH_ALARM  <UTC:1704306724_0017>
01/03/2024 18:30:37  01/03/2024 15:29:37 E-00121   100     3  ERR_PATIENT_DISCONNECT_ALARM  HIGH_ALARM  <UTC:1704306637_0017>
01/03/2024 18:18:37  01/03/2024 15:17:37 E-00264     0 65535  ERR_MENU_BYPASS_ACTIVATED  KEYPRESS  <UTC:1704305917_0017>
01/03/2024 18:18:33  01/03/2024 15:17:33 E-00166     0 65535  ERR_UI_RESET_KEY_PRESS  KEYPRESS  <UTC:1704305913_0017>
01/03/2024 18:05:20  01/03/2024 15:04:20 E-00114     4    19  ERR_LOW_MIN_VENT_ALARM  HIGH_ALARM  <UTC:1704305120_0017>
01/03/2024 17:58:39  01/03/2024 14:57:39 E-00114     5     4  ERR_LOW_MIN_VENT_ALARM  HIGH_ALARM  <UTC:1704304719_0017>
