Product ID=2c, Serial#=TV11412164B, SWVersion=(See Log Data), HWVersion=(See Log Data)
-----------------------------------------------------------------
LOG ID 0017 (Encrypted Significant Event Text) 934472 total bytes
-----------------------------------------------------------------
     UTC Time           Device Time          Err              Descr
01/11/2024 16:45:36  01/11/2024 12:07:36 E-00264     0 65535  ERR_MENU_BYPASS_ACTIVATED  KEYPRESS  <UTC:1704991536_0017>
01/11/2024 16:45:31  01/11/2024 12:07:31 E-16415     1     0      NV_ID= 31 (NV_UNIT_STATE)  P/S=P RX=0  AVAPS=0  <UTC:1704991531_0017>
01/11/2024 16:45:31  01/11/2024 12:07:31 E-00294     0 65535  ERR_POWER_OFF_YES_KEY  KEYPRESS  <UTC:1704991531_0017>
01/11/2024 16:45:31  01/11/2024 12:07:31 E-00293     0 65535  ERR_POWER_OFF_KEY  KEYPRESS  <UTC:1704991531_0017>
01/11/2024 16:45:27  01/11/2024 12:07:27 E-00166     0 65535  ERR_UI_RESET_KEY_PRESS  KEYPRESS  <UTC:1704991527_0017>
01/11/2024 16:45:25  01/11/2024 12:07:25 E-00173     0 65535  ERR_START_ON_BATTERY  INFO_ALARM  <UTC:1704991525_0017>
01/11/2024 16:45:21  01/11/2024 12:07:21 E-16415     0     1      NV_ID= 31 (NV_UNIT_STATE)  P/S=P RX=0  AVAPS=0  <UTC:1704991521_0017>
01/11/2024 16:45:21  01/11/2024 12:07:21 E-00324     1 65535  ERR_POWER_ON  KEYPRESS  <UTC:1704991521_0017>
01/11/2024 16:45:21  01/11/2024 12:07:21 E-00072     0 65535  ERR_MMC_SD_CARD_INSERTED  BEEP_ONLY  <UTC:1704991521_0017>
01/11/2024 16:45:19  01/11/2024 12:07:19 E-00252     0 65535  ERR_INT_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1704991519_0017>
01/11/2024 16:45:19  01/11/2024 12:07:19 E-00251     0 65535  ERR_DET_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1704991519_0017>
01/03/2024 20:05:53  01/03/2024 15:27:53 E-00179     0 65535  ERR_PWR_REDUCTION_AC_DISCONNECTED  MED_ALARM  <UTC:1704312353_0017>
01/03/2024 20:03:55  01/03/2024 15:25:55 E-16415     1     0      NV_ID= 31 (NV_UNIT_STATE)  P/S=P RX=0  AVAPS=0  <UTC:1704312235_0017>
01/03/2024 20:03:55  01/03/2024 15:25:55 E-00294     0 65535  ERR_POWER_OFF_YES_KEY  KEYPRESS  <UTC:1704312235_0017>
