Product ID=31, Serial#=TV011062408, SWVersion=(See Log Data), HWVersion=(See Log Data)
-----------------------------------------------------------------
LOG ID 0017 (Encrypted Significant Event Text) 839086 total bytes
-----------------------------------------------------------------
     UTC Time           Device Time          Err              Descr
02/26/2024 21:31:49  02/26/2024 17:41:49 E-00264     0 65535  ERR_MENU_BYPASS_ACTIVATED  KEYPRESS  <UTC:1708983109_0017>
02/26/2024 21:31:48  02/26/2024 17:41:48 E-00286     0 65535  ERR_PWR_UPGRADE_DET_LI_ION_IN_USE  BEEP_ONLY  <UTC:1708983108_0017>
02/26/2024 21:31:47  02/26/2024 17:41:47 E-00251     0 65535  ERR_DET_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1708983107_0017>
02/26/2024 21:31:46  02/26/2024 17:41:46 E-00181     0 65535  ERR_PWR_REDUCTION_DET_LI_ION_DISCONNECTED  INFO_ALARM  <UTC:1708983106_0017>
02/26/2024 21:31:03  02/26/2024 17:41:03 E-16415     1     0      NV_ID= 31 (NV_UNIT_STATE)  P/S=P RX=0  AVAPS=0  <UTC:1708983063_0017>
02/26/2024 21:31:03  02/26/2024 17:41:03 E-00173     0 65535  ERR_START_ON_BATTERY  INFO_ALARM  <UTC:1708983063_0017>
02/26/2024 21:31:03  02/26/2024 17:41:03 E-00294     0 65535  ERR_POWER_OFF_YES_KEY  KEYPRESS  <UTC:1708983063_0017>
02/26/2024 21:31:02  02/26/2024 17:41:02 E-00293     0 65535  ERR_POWER_OFF_KEY  KEYPRESS  <UTC:1708983062_0017>
02/26/2024 21:31:01  02/26/2024 17:41:01 E-00110     0     2  ERR_LOW_PIP_ALARM  HIGH_ALARM  <UTC:1708983061_0017>
02/26/2024 21:31:01  02/26/2024 17:41:01 E-00072     0 65535  ERR_MMC_SD_CARD_INSERTED  BEEP_ONLY  <UTC:1708983061_0017>
02/26/2024 21:31:00  02/26/2024 17:41:00 E-00165     0     3  ERR_LOW_PEP_ALARM  HIGH_ALARM  <UTC:1708983060_0017>
02/26/2024 21:30:59  02/26/2024 17:40:59 E-00252     0 65535  ERR_INT_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1708983059_0017>
02/26/2024 21:30:59  02/26/2024 17:40:59 E-00251     0 65535  ERR_DET_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1708983059_0017>
02/26/2024 21:30:59  02/26/2024 17:40:59 E-16415     0     1      NV_ID= 31 (NV_UNIT_STATE)  P/S=P RX=0  AVAPS=0  <UTC:1708983059_0017>
